"Kod";"Nazwa";"Rodzaje obiektów";"Rodzaje placówek";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"restauracje";"2020";10;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"restauracje";"2021";4;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"restauracje";"2022";3;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"bary i kawiarnie";"2019";25;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"bary i kawiarnie";"2020";25;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"bary i kawiarnie";"2021";23;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"bary i kawiarnie";"2022";20;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"stołówki";"2019";74;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"stołówki";"2020";64;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"stołówki";"2021";85;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"stołówki";"2022";72;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"punkty gastronomiczne";"2019";21;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"punkty gastronomiczne";"2020";20;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"punkty gastronomiczne";"2021";22;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"punkty gastronomiczne";"2022";14;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"restauracje";"2019";91;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"restauracje";"2020";79;"ob.";""
