"Kod";"Nazwa";"Wyszczególnienie";"Kategorie";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2010";23.87;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2011";26.9;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2012";27.1;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2013";26.6;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2014";25.9;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2015";25.8;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2016";30.4;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2017";32.6;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2018";35.8;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2019";37.4;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2020";24.5;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2021";29.9;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2022";39.7;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2002";36.00;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2003";36.00;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2004";39.79;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2005";43.09;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2006";44.92;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2007";47.11;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2008";45.99;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2009";41.20;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2010";41.57;"%";""
